Instance,Solution_ID,Tasks,Z1_Pareto,Z2_Pareto,Time_Sec
warnecke_c=97.alb,1,58,19,500548,1.325
warnecke_c=97.alb,2,58,20,513,1.325
warnecke_c=97.alb,3,58,21,485,1.325
warnecke_c=97_1.alb,1,58,22,100478,0.6413
warnecke_c=97_1.alb,2,58,21,100492,0.6413
warnecke_c=97_1.alb,3,58,20,100541,0.6413
wee-mag_c=29.alb,1,75,64,642,5.2903
wee-mag_c=29.alb,2,75,66,607,5.2903
wee-mag_c=29.alb,3,75,67,600,5.2903
wee-mag_c=29.alb,4,75,65,621,5.2903
wee-mag_c=36.alb,1,75,60,642,0.4116
wee-mag_c=36.alb,2,75,61,628,0.4116
wee-mag_c=36.alb,3,75,62,614,0.4116
wee-mag_c=36.alb,4,75,63,607,0.4116
wee-mag_c=36_1.alb,1,75,60,635,0.6664
wee-mag_c=36_1.alb,2,75,61,621,0.6664
wee-mag_c=36_1.alb,3,75,62,607,0.6664
wee-mag_c=40.alb,1,75,61,607,2.8999
wee-mag_c=40.alb,2,75,60,614,2.8999
wee-mag_c=40.alb,3,75,62,600,2.8999
wee-mag_c=41.alb,1,75,60,614,3.8297
wee-mag_c=41.alb,2,75,61,607,3.8297
wee-mag_c=41.alb,3,75,59,621,3.8297
wee-mag_c=52.alb,1,75,35,761,1.7794
wee-mag_c=52.alb,2,75,33,789,1.7794
wee-mag_c=52.alb,3,75,34,768,1.7794
wee-mag_c=52.alb,4,75,36,747,1.7794
